company,period,metric,value,unit,source_url
CME,2025-Q2,rpc_foreign_exchange,0.772,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q2,rpc_interest_rates,0.481,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q2,rpc_metals,1.456,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q2,rpc_total,0.69,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q3,rpc_agricultural,1.423,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q3,rpc_energy,1.214,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q3,rpc_equity_indexes,0.652,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q3,rpc_foreign_exchange,0.841,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q3,rpc_interest_rates,0.487,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q3,rpc_metals,1.505,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q3,rpc_total,0.702,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q4,rpc_agricultural,1.427,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q4,rpc_energy,1.245,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q4,rpc_equity_indexes,0.611,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q4,rpc_foreign_exchange,0.847,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q4,rpc_interest_rates,0.486,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q4,rpc_metals,1.295,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2025-Q4,rpc_total,0.707,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q1,rpc_agricultural,1.344,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q1,rpc_energy,1.084,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q1,rpc_equity_indexes,0.597,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q1,rpc_foreign_exchange,0.78,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q1,rpc_interest_rates,0.457,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q1,rpc_metals,1.153,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q1,rpc_total,0.652,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q2,rpc_agricultural,1.426,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q2,rpc_energy,1.131,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q2,rpc_equity_indexes,0.605,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q2,rpc_foreign_exchange,0.813,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q2,rpc_interest_rates,0.48,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q2,rpc_metals,1.315,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
CME,2026-Q2,rpc_total,0.678,USD_per_contract,https://www.sec.gov/Archives/edgar/data/1156375/000115637526000042/exhibit9916302026.htm
HKEX,2025-Q1,adt_equity_products,225.4,HKD_bn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250430news/250430news_e.pdf
HKEX,2025-Q1,cash_seg_clearing_fee_revenue,837,HKD_mn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260429news/260429news_e.pdf
HKEX,2025-Q1,cash_seg_si_fee_revenue,143,HKD_mn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260429news/260429news_e.pdf
HKEX,2025-Q1,cash_seg_trading_fee_revenue,1293,HKD_mn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250430news/250430news_e.pdf
HKEX,2025-Q1,clearing_fee_effective_rate_both_sides,0.006189,pct_of_turnover,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260429news/260429news_e.pdf
HKEX,2025-Q1,clearing_fee_effective_rate_per_side,0.003094,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2026/260429news/260429news_e.pdf
HKEX,2025-Q1,stock_clearing_fee_exchange_trade,0.0,HKD,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2025-Q1,stock_settlement_fee_crossed_trade_per_side,0.001,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Circulars-and-Notices/Participant-and-Members-Circulars/HKSCC/2025/019_25_HKSCC_OP_stock-settlement-fee-restructure_e.pdf
HKEX,2025-Q1,stock_settlement_fee_listed_rate_per_side,0.002,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Circulars-and-Notices/Participant-and-Members-Circulars/HKSCC/2025/019_25_HKSCC_OP_stock-settlement-fee-restructure_e.pdf
HKEX,2025-Q1,stock_settlement_fee_max_per_trade,100,HKD,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Circulars-and-Notices/Participant-and-Members-Circulars/HKSCC/2025/019_25_HKSCC_OP_stock-settlement-fee-restructure_e.pdf
HKEX,2025-Q1,stock_settlement_fee_min_per_trade,2,HKD,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Circulars-and-Notices/Participant-and-Members-Circulars/HKSCC/2025/019_25_HKSCC_OP_stock-settlement-fee-restructure_e.pdf
HKEX,2025-Q1,trading_days,60,days,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250430news/250430news_e.pdf
HKEX,2025-Q1,trading_fee_effective_rate_both_sides,0.009561,pct_of_turnover,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250430news/250430news_e.pdf
HKEX,2025-Q1,trading_fee_effective_rate_per_side,0.00478,pct_of_consideration,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250430news/250430news_e.pdf
HKEX,2025-Q1,trading_fee_listed_rate_per_side,0.00565,pct_of_consideration,https://www.hkex.com.hk/Services/Rules-and-Forms-and-Fees/Fees/Securities-(Hong-Kong)/Trading/Transaction?sc_lang=en
