month,consumer_balance_usdbn,consumer_dq30_pct,consumer_nco_pct,sbs_balance_usdbn,sbs_dq30_pct,sbs_nco_pct
2025-01,89.4,1.4,2.3,30.1,1.6,2.5
2025-02,87.8,1.4,2.5,30.2,1.6,2.6
2025-03,90.1,1.4,2.4,31.2,1.6,2.6
2025-04,90.7,1.4,2.0,31.6,1.6,2.4
2025-05,92.0,1.3,2.1,32.0,1.5,2.4
2025-06,92.6,1.3,2.1,30.1,1.6,2.6
2025-07,93.7,1.3,2.0,30.5,1.6,2.7
2025-08,94.6,1.3,2.0,30.9,1.6,2.7
2025-09,94.1,1.4,1.9,30.7,1.6,2.5
2025-10,95.2,1.4,2.2,31.2,1.6,2.6
2025-11,97.7,1.4,2.1,31.4,1.6,2.7
2025-12,100.2,1.3,2.1,30.8,1.7,2.7
2026-01,97.2,1.4,1.9,31.4,1.7,2.8
2026-02,95.1,1.4,2.0,31.3,1.7,2.8
2026-03,97.5,1.4,2.2,32.2,1.7,2.9
2026-04,111.4,1.2,2.1,45.8,1.5,2.4
2026-05,113.8,1.1,2.0,46.7,1.4,2.6
2026-06,113.8,1.1,1.4,45.9,1.4,2.3
