column,break_month,footnote,athex_memo_column,official_footnote
issuers_equities,2019-01,Capital Markets (1),athex_issuers_equities,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
issuers_equities,2021-05,Capital Markets (1),athex_issuers_equities,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
issuers_equities,2021-05,Capital Markets (2),athex_issuers_equities,Change in the computation methodology of the number of issuers in May 2021
issuers_equities,2025-11,Capital Markets (1),athex_issuers_equities,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
listed_bonds,2019-01,Capital Markets (1),athex_listed_bonds,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
listed_bonds,2021-05,Capital Markets (1),athex_listed_bonds,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
listed_bonds,2025-06,Capital Markets (3),athex_listed_bonds,"As of June 2025, Euronext includes bonds registered on Euronext ABM in its reported figures. 2024 and 2025 figures have been restated. This adjustment reflects the materiality of Euronext ABM activity and aligns with market practice."
listed_bonds,2025-11,Capital Markets (1),athex_listed_bonds,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
listed_etfs,2019-01,Capital Markets (1),athex_listed_etfs,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
listed_etfs,2021-05,Capital Markets (1),athex_listed_etfs,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
listed_etfs,2025-11,Capital Markets (1),athex_listed_etfs,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
listed_funds,2019-01,Capital Markets (1),,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
listed_funds,2021-05,Capital Markets (1),,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
listed_funds,2025-11,Capital Markets (1),,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
new_listings_equities,2019-01,Capital Markets (1),athex_new_listings_equities,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
new_listings_equities,2021-05,Capital Markets (1),athex_new_listings_equities,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
new_listings_equities,2025-06,Capital Markets (4),athex_new_listings_equities,"In June 2025, equity listing figures have been revised to include every type of listing, including those that do not affect the overall number of equity issuers listed on Euronext. Listings are initial public offerings, private placements, direct listings, transfers between Euronext markets e.g. from Euronext Access to Euronext Growth, mergers and reverse mergers, business combinations and de-SPACs, as well as cross-listings."
new_listings_equities,2025-11,Capital Markets (1),athex_new_listings_equities,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
money_raised_new_listings_eurm,2019-01,Capital Markets (1),athex_money_raised_new_listings_eurm,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
money_raised_new_listings_eurm,2021-05,Capital Markets (1),athex_money_raised_new_listings_eurm,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
money_raised_new_listings_eurm,2025-11,Capital Markets (1),athex_money_raised_new_listings_eurm,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
money_raised_followon_eurm,2019-01,Capital Markets (1),athex_money_raised_followon_eurm,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
money_raised_followon_eurm,2021-05,Capital Markets (1),athex_money_raised_followon_eurm,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
money_raised_followon_eurm,2025-11,Capital Markets (1),athex_money_raised_followon_eurm,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
mktcap_eurtn,2019-01,Capital Markets (1),athex_mktcap_eurtn,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
mktcap_eurtn,2021-05,Capital Markets (1),athex_mktcap_eurtn,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
mktcap_eurtn,2025-11,Capital Markets (1),athex_mktcap_eurtn,"Includes figures from Euronext Dublin and Oslo since January 2019, Borsa Italiana since May 2021 and Euronext Athens since November 2025"
csd_auc_eurbn,2025-11,Securities Services (1),athex_csd_auc_eurbn,Includes figures from Euronext Athens since November 2025
csd_settlement_instructions_m,2025-11,Securities Services (1),athex_csd_settlement_instructions_m,Includes figures from Euronext Athens since November 2025
