month,approved_total_k,outstanding_total_k,arizona_approved_k,arizona_outstanding_k
2020-03,2516287,2516287.0,,
2020-04,2479756,2479756.0,,
2020-05,2494485,2494485.0,,
2020-06,2448884,2448884.0,,
2020-07,2437900,2437900.0,,
2020-08,90473811,2441811.0,,
2020-09,89289857,89289857.0,,
2020-10,88189150,88189150.0,,
2020-11,87874662,87874662.0,,
2020-12,86629044,86629044.0,,
2021-01,86425552,86425552.0,,
2021-02,210820913,85716413.0,,
2021-03,216174662,87893162.0,,
2021-04,211268323,183408323.0,,
2021-05,209562100,181927100.0,,
2021-06,211488236,183599236.0,,
2021-07,211761231,183836231.0,,
2021-08,433568058,183683058.0,,900141.0
2021-09,435114006,184338006.0,,903351.0
2021-10,434411303,309225803.0,,126087392.0
2021-11,433333824,308458824.0,,125774655.0
2021-12,432147036,307614036.0,,125430191.0
2022-01,434426918,309236918.0,,126091924.0
2022-02,438393289,312060289.0,,127243159.0
2022-03,446575881,317884881.0,,129618147.0
2022-04,460879801,431365801.0,,237068844.0
2022-05,453634147,424584147.0,,233341801.0
2022-06,464127853,434405853.0,,238739587.0
2022-07,467656986,467656986.0,,240554914.0
2022-08,596746796,475058782.0,,244362267.0
2022-09,623110208,496046192.0,,255157838.0
2022-10,631289927,502557911.0,,258507357.0
2022-11,606495766,482819751.0,,248354379.0
2022-12,602454945,479602931.0,,246699701.0
2023-01,589096699,468968685.0,,241229623.0
2023-02,597688346,475808332.0,,244747823.0
2023-03,596746796,475058782.0,366050281.0,244362267.0
2023-04,602278405,479462390.0,369443424.0,246627409.0
2023-05,602611871,479727856.0,369647975.0,246763960.0
2023-06,610634665,486114650.0,374569235.0,250049220.0
2023-07,616323198,490643183.0,378058636.0,252378621.0
2023-08,625385620,497857605.0,383617614.0,256089599.0
2023-09,647183476,518059282.0,388418550.0,259294534.0
2023-10,650270934,520530740.0,390271543.0,260531527.0
2023-11,626874412,501802225.0,376229709.0,251157693.0
2023-12,603121877,480133862.0,369960818.0,246972803.0
2024-01,613577010,488456994.0,376374098.0,251254082.0
2024-02,621344800,494640785.0,381138936.0,254434921.0
2024-03,627641419,499653403.0,385001343.0,257013327.0
2024-04,637763085,507711070.0,391210071.0,261158056.0
2024-05,636723457,506883442.0,390572353.0,260732338.0
2024-06,637311926,507351910.0,390933326.0,260973310.0
2024-07,645256258,513676242.0,395806456.0,264226440.0
2024-08,626915640,499075625.0,384556143.0,256716128.0
2024-09,620599406,494047391.0,380681704.0,254129689.0
2024-10,628916435,500668420.0,385783450.0,257535435.0
2024-11,686722626,556634611.0,440101363.0,310013348.0
2024-12,718622992,560845056.0,470136259.0,312358323.0
2025-01,717573866,560002991.0,469413211.0,311842336.0
2025-02,719218420,561286420.0,470489024.0,312557024.0
2025-03,741381014,592818470.0,489580416.0,341017872.0
2025-04,725185794,573447650.0,481612983.0,329874839.0
2025-05,677253993,535545117.0,449780344.0,308071468.0
2025-06,658221254,539784846.0,437140253.0,318703845.0
2025-07,675967082,554337596.0,448925676.0,327296190.0
2025-08,690529500,566279739.0,458596921.0,334347160.0
2025-09,658779320,534748931.0,457787235.0,333756846.0
2025-10,663181108,538321981.0,460846047.0,335986920.0
2025-11,676731710,549321370.0,470262391.0,342852051.0
2025-12,678479478,550740080.0,471476919.0,343737521.0
2026-01,677428276,549867626.0,470715378.0,343154728.0
2026-02,674407895,547415986.0,468616647.0,341624738.0
2026-03,691753511,561494551.0,480669360.0,350410400.0
2026-04,648068236,519478950.0,474508085.0,345918799.0
2026-05,641966939,514588269.0,470040786.0,342662116.0
2026-06,653493885,524230212.0,478480683.0,349217010.0
2026-07,674495067,534023318.0,496466098.0,355994349.0
