month,core_nna_usdbn,total_client_assets_usdbn,new_brokerage_accounts_k,dats_k,margin_balances_usdbn,client_cash_pct,sweep_cash_usdbn,mmf_usdbn
2024-12,61.4,10101.3,431,,,10.1,,
2025-01,30.6,10333.1,433,7365,82.9,9.8,399.6,610.9
2025-02,48.0,10280.2,362,7446,86.5,10.0,404.3,625.4
2025-03,59.1,9929.7,388,7365,83.6,10.6,407.8,641.9
2025-04,2.7,9892.2,439,8362,76.2,10.5,403.3,637.8
2025-05,35.0,10349.0,336,7184,81.3,10.1,398.1,645.8
2025-06,42.6,10757.3,323,7147,83.4,9.9,412.1,653.9
2025-07,46.9,10963.5,377,7252,88.3,9.7,407.5,658.6
2025-08,44.4,11228.1,382,7182,92.4,9.5,406.7,665.2
2025-09,46.2,11593.9,384,7832,97.2,9.4,425.6,667.0
2025-10,44.4,11828.0,429,8617,105.6,9.3,428.8,675.5
2025-11,40.4,11834.3,365,8459,110.1,9.4,427.5,685.9
2025-12,79.1,11903.0,474,7746,112.3,9.7,453.7,694.5
2026-01,27.8,12148.5,476,9512,116.3,9.3,433.3,693.4
2026-02,32.5,12220.3,395,9922,120.6,9.3,436.1,696.2
2026-03,79.7,11767.9,428,10232,126.7,9.9,461.5,702.2
2026-04,7.2,12605.3,437,10328,136.0,9.2,467.6,688.1
2026-05,49.9,13135.3,461,11813,154.6,8.9,472.4,694.6
2026-06,62.7,13084.9,490,13615,165.1,9.0,485.7,691.9
2026-07,58.1,13042.5,417,11648,169.9,9.0,476.8,695.3
