month,sec_trading_days,sec_turnover_mnshares,sec_turnover_sgdmn,sdav_sgdmn,listed_securities,mktcap_sgdmn,turnover_velocity_pct,deriv_vol_contracts,ddav_contracts,deriv_futures_vol_contracts,deriv_options_vol_contracts,deriv_swaps_vol_contracts,deriv_oi_contracts,vol_equity_index_futures_contracts,vol_a50_futures_contracts,vol_nikkei225_futures_contracts,vol_nifty50_futures_contracts,vol_msci_singapore_futures_contracts,vol_msci_taiwan_futures_contracts,vol_ftse_taiwan_futures_contracts,vol_fx_futures_contracts,vol_usdcnh_futures_contracts,vol_inrusd_futures_contracts,vol_rates_futures_contracts,vol_iron_ore_contracts,vol_commodities_contracts,vol_crypto_contracts,ipos_count,delistings_count,ipo_funds_sgdmn,new_bond_listings,bond_funds_sgdmn
2023-06,20,29094,23725,1186,640,811674,41,21341347,1027765,20477470,861667,2211,5107337,13564504,7428153,1610393,1696663,1032957,,1467768,3311345,2057885,1114189,67838,3477722,3913070,,1,4,5,101,18668
2023-07,21,29570,21504,1024,639,848464,34,20471824,977841,19731045,737208,3571,4969501,12485875,7418652,961941,1330907,1174471,,1482793,3340017,2105387,1058915,34249,3769915,4251349,,0,1,0,121,28266
2023-08,22,29169,23583,1072,637,809676,38,23658349,1043082,22637647,1017420,3282,5286911,13998907,8738781,863501,1562214,1232853,,1448645,4204816,2751155,1176825,26963,4478476,5041570,,0,2,0,93,17397
2023-09,20,24447,17339,867,635,800205,31,21495374,1073390,20383461,1109129,2784,5302317,11609097,6571431,1040619,1529546,1038866,,1304094,4105613,2837459,1084114,68804,4824766,5377344,,1,3,0,39,22237
2023-10,22,27028,19741,897,637,762489,33,20607223,1068295,19854427,750597,2199,5379983,12361896,6973240,1000547,1475404,1202796,,1522103,3267005,2072749,993362,29814,3955455,4481420,,2,0,11,93,21842
2023-11,21,25232,19982,952,635,765049,35,22354830,1036664,21533394,819692,1744,5493485,12349299,7256857,782265,1424243,1134515,,1585681,4073118,2666565,1121169,36925,4719818,5424408,,1,3,8,57,27254
2023-12,20,22664,19015,951,632,802356,33,21147511,1041227,20534339,611368,1804,4850128,12485819,7484685,1061689,1380250,1094631,,1314924,4011489,2735360,1001835,65388,3641603,4164063,,0,3,0,86,14721
2024-01,22,27695,20564,935,629,773784,33,24553201,1137594,23664688,884685,3828,5126817,14570895,9400967,829322,1496352,1144580,,1590290,4268175,2632367,1254313,27112,4661577,5202526,,0,3,69,60,24134
2024-02,20,32838,25037,1252,625,767571,46,21861787,1255426,20810067,1049385,2335,5399645,13013434,8024573,753996,1541438,1282909,,1257075,3574306,1941084,1323659,22326,4311337,4875097,,1,5,26,99,28984
2024-03,20,34733,23792,1190,624,776530,42,23954405,1194376,22704863,1246074,3468,5418201,12814157,6795882,1139256,1572836,1258689,,1844729,4286481,2639387,1356843,70526,5685890,6419619,,0,1,0,112,33791
2024-04,21,37130,25453,1212,623,777802,43,24109195,1183620,23133293,972787,3115,5593559,13211347,7167021,921586,1615738,1359217,,1932981,4793079,2824729,1588182,32476,5049807,5610505,,0,1,0,60,28138
2024-05,21,27250,26679,1270,623,798549,44,23947970,1138782,22745962,1198742,3266,6181554,13144228,7544200,684149,1740020,1318978,,1658271,4742020,2617831,1739198,21344,4931034,5609427,,0,0,0,100,30625
2024-06,19,23598,21061,1108,623,792928,38,22395715,1163493,21577066,814779,3870,5746700,12326726,6674850,936379,1802902,1226621,,1543404,4479994,2439647,1695256,70674,4492217,5083527,,0,0,3,97,20306
2024-07,23,27040,26525,1153,622,815229,39,23507300,1044530,22665957,838139,3204,5658126,13130666,7330449,864459,1722772,1365739,,1709921,4814175,2949414,1571717,38680,4587409,5118182,,1,2,0,75,35692
2024-08,21,23383,28762,1370,622,811054,46,24591314,1133317,23500043,1087250,4021,5884783,12367250,6576230,933551,1805869,1296705,,1630145,5574587,3434953,1711571,87910,5480668,6053589,,0,0,0,89,14549
2024-09,21,25628,30379,1447,620,853084,46,28853307,1451034,27782824,1067259,3224,6425820,15902529,10500377,882917,1752831,1172701,,1451418,5535335,3487449,1679682,97643,6222125,6940202,,0,2,0,43,28161
