month,report_date,filing_date,accession,days_in_period,payment_rate_pct,portfolio_yield_pct,excess_spread_pct_group1,n_series_at_that_es,ending_principal_receivables_usd,ending_total_receivables_usd,ending_total_principal_balance_usd,ending_transferor_amount_usd,beginning_accounts,ending_accounts,total_fc_collections_usd,fc_collections_excl_recoveries_usd,recoveries_usd,total_principal_collections_usd,new_principal_receivables_usd,defaulted_amount_usd,net_default_amount_usd,ann_default_rate_pct,ann_recovery_rate_pct,ann_default_rate_net_pct,dq3160_usd,dq3160_pct,dq6190_usd,dq6190_pct,dq91120_usd,dq91120_pct,dq120p_usd,dq120p_pct,dq30p_usd,dq30p_pct
2016-11,2016-11-30,2016-12-15,0001193125-16-794087,30.0,31.9168,19.5348,15.8839,3,24512227617.3,25197513155.23,24512227617.3,11934573617.3,16106432.0,16099719.0,422874812.51,409958119.54,12916692.97,7722796499.68,8072763174.96,34374049.77,21457356.8,1.7062,0.64,1.065,70433325.0,0.28,51828905.0,0.21,42362166.0,0.17,60575309.0,0.24,225199704.0,0.89
2016-12,2016-12-31,2017-01-17,0001193125-17-010795,31.0,33.0363,19.0925,16.0754,3,25435689920.43,26129462077.77,25435689920.43,12981421920.43,16099719.0,15781412.0,434904049.83,420998303.72,13905746.11,8367861196.44,9328748780.56,37425280.99,23519534.88,1.7324,0.64,1.0887,65748219.0,0.25,50439916.0,0.19,43951154.0,0.17,64531777.0,0.25,224671066.0,0.86
2017-01,2017-01-31,2017-02-15,0001193125-17-044849,31.0,32.6605,19.6251,16.6182,3,24394052766.34,25100898127.25,24394052766.34,11939784766.34,15781412.0,15773854.0,460574104.06,448085775.18,12488328.88,8584333788.89,7579311212.33,36614577.53,24126248.65,1.7673,0.6,1.1645,62284592.0,0.25,49396653.0,0.2,42756467.0,0.17,70348772.0,0.28,224786485.0,0.9
2017-02,2017-02-28,2017-03-15,0001193125-17-083156,28.0,33.8729,20.6583,15.5846,4,23666951708.67,24363584935.12,23666951708.67,7779511708.67,15773854.0,15765890.0,426645212.94,414609626.1,12035586.84,7712114526.0,7025074285.2,40060816.87,28025230.03,2.2065,0.66,1.5436,72073999.0,0.3,46290796.0,0.19,42515826.0,0.17,71630926.0,0.29,232511547.0,0.95
2017-03,2017-03-31,2017-04-17,0001193125-17-125478,31.0,32.6415,18.8145,15.5945,4,23735645431.1,24437707970.32,23735645431.1,7848205431.1,15765890.0,15344766.0,421269865.02,405961505.74,15308359.28,7982762406.3,8094542212.25,43086083.52,27777724.24,2.1373,0.76,1.3779,69898859.0,0.29,49602857.0,0.2,38675930.0,0.16,68945596.0,0.28,227123241.0,0.93
2017-04,2017-04-30,2017-05-15,0001193125-17-170255,30.0,33.0488,20.252,16.49,5,23862685335.44,24569322282.76,23862685335.44,6032382335.44,15344766.0,15336660.0,436668590.56,424169223.55,12499367.01,7844336331.07,8012953704.92,41577469.51,29078102.5,2.1199,0.64,1.4826,57963855.0,0.24,51849247.0,0.21,42694805.0,0.17,65000770.0,0.26,217508677.0,0.89
2017-05,2017-05-31,2017-06-15,0001193125-17-204353,31.0,32.6007,19.4509,16.3513,6,24065617632.46,24786504251.37,24065617632.46,4406741632.46,15336660.0,15328537.0,434849110.01,420846414.48,14002695.53,8038713946.24,8282284762.61,40638519.35,26635823.82,1.9883,0.69,1.3032,61900223.0,0.25,43322292.0,0.17,45667447.0,0.18,66246817.0,0.27,217136779.0,0.88
2017-06,2017-06-30,2017-07-17,0001193125-17-229154,30.0,34.4217,21.0278,17.0795,5,23800780418.32,24520570103.93,23800780418.32,7046894418.32,15328537.0,15021141.0,454303226.23,440414380.75,13888845.48,8283798051.73,8057334460.55,38373622.96,24484777.48,1.9616,0.71,1.2516,61004907.0,0.25,46487270.0,0.19,38610668.0,0.16,72624412.0,0.3,218727257.0,0.89
2017-07,2017-07-31,2017-08-15,0001193125-17-258217,31.0,31.9044,19.8121,16.5318,5,23827869900.77,24568427517.43,23827869900.77,6499268900.77,15021141.0,15013363.0,440591322.05,428000631.71,12590690.34,7846613411.14,7913804268.86,40101375.27,27510684.93,1.9816,0.62,1.3594,68518761.0,0.28,45942566.0,0.19,40920840.0,0.17,70307517.0,0.29,225689684.0,0.92
2017-08,2017-08-31,2017-09-15,0001193125-17-286089,31.0,32.7101,20.1543,16.8805,5,23797511140.17,24547469822.87,23797511140.17,6483642140.17,15013363.0,14894351.0,451678153.05,437732704.23,13945448.82,8053917616.88,8067375101.23,43808531.85,29863083.03,2.1675,0.69,1.4775,67331285.0,0.27,50475584.0,0.21,40232504.0,0.16,65656316.0,0.27,223695690.0,0.91
2017-09,2017-09-30,2017-10-16,0001193125-17-310604,30.0,32.5496,21.0321,17.0389,4,23497951193.15,24248700471.95,23497951193.15,7918187193.15,14894351.0,14337403.0,449660437.38,437559849.29,12100588.09,7746001624.09,7484722530.63,38280853.56,26180265.47,1.9821,0.63,1.3556,69666569.0,0.29,48123663.0,0.2,43750652.0,0.18,67811885.0,0.28,229352770.0,0.95
2017-10,2017-10-31,2017-11-15,0001193125-17-343688,31.0,31.3108,19.7075,16.5628,6,23574273064.88,24340607326.99,23574273064.88,6268902064.88,14337403.0,14099177.0,433797560.18,420383125.45,13414434.73,7602632854.15,7719446634.0,40491908.12,27077473.39,2.0224,0.67,1.3524,71600721.0,0.29,51035311.0,0.21,42185638.0,0.17,70336884.0,0.29,235158554.0,0.97
2017-11,2017-11-30,2017-12-15,0001193125-17-370480,30.0,32.5153,20.812,16.669,5,24026093829.09,24793948443.09,24026093829.09,7889798829.09,14099177.0,13692673.0,442189580.0,429810448.57,12379131.43,7665246384.2,8156000308.61,38933160.2,26554028.77,1.9716,0.63,1.3447,76678820.0,0.31,54160455.0,0.22,44459816.0,0.18,71504432.0,0.29,246803524.0,1.0
