tranche_id,qibie,quanbie,currency,issue_date,maturity_date,tenor_years,coupon_pct,repayment_type,issue_amount_k,outstanding_k_2026_07
112-1B,112-1,乙類,TWD,2023-03-28,2030-03-28,7.0,1.6,bullet,2300000,2300000
112-1C,112-1,丙類,TWD,2023-03-28,2033-03-28,10.0,1.78,bullet,4800000,4800000
112-2A,112-2,甲類,TWD,2023-05-03,2028-05-03,5.0,1.6,bullet,13100000,13100000
112-2B,112-2,乙類,TWD,2023-05-03,2030-05-03,7.0,1.65,bullet,2300000,2300000
112-2C,112-2,丙類,TWD,2023-05-03,2033-05-03,10.0,1.82,bullet,5300000,5300000
112-3A,112-3,甲類,TWD,2023-06-01,2028-06-01,5.0,1.6,bullet,11400000,11400000
112-3B,112-3,乙類,TWD,2023-06-01,2030-06-01,7.0,1.65,bullet,2600000,2600000
112-3C,112-3,丙類,TWD,2023-06-01,2033-06-01,10.0,1.8,bullet,6000000,6000000
112-4A,112-4,甲類,TWD,2023-08-16,2028-08-16,5.0,1.6,bullet,7300000,7300000
112-4B,112-4,乙類,TWD,2023-08-16,2030-08-16,7.0,1.65,bullet,700000,700000
112-4C,112-4,丙類,TWD,2023-08-16,2033-08-16,10.0,1.76,bullet,7900000,7900000
112-5A,112-5,甲類,TWD,2023-10-16,2028-10-16,5.0,1.62,bullet,4300000,4300000
112-5B,112-5,乙類,TWD,2023-10-16,2033-10-16,10.0,1.76,bullet,5500000,5500000
113-1A,113-1,甲類,TWD,2024-03-15,2029-03-15,5.0,1.64,bullet,12000000,12000000
113-1B,113-1,乙類,TWD,2024-03-15,2034-03-15,10.0,1.76,bullet,10800000,10800000
113-2A,113-2,甲類,TWD,2024-05-17,2029-05-17,5.0,1.98,bullet,4900000,4900000
113-2B,113-2,乙類,TWD,2024-05-17,2034-05-17,10.0,2.1,bullet,6600000,6600000
114-1A,114-1,甲類,TWD,2025-03-28,2030-03-28,5.0,1.9,bullet,12000000,12000000
114-1B,114-1,乙類,TWD,2025-03-28,2035-03-28,10.0,2.05,bullet,7200000,7200000
114-2A,114-2,甲類,TWD,2025-06-02,2030-06-02,5.0,1.92,bullet,12500000,12500000
114-2B,114-2,乙類,TWD,2025-06-02,2035-06-02,10.0,2.05,bullet,1600000,1600000
114-3A,114-3,甲類,TWD,2025-07-09,2030-07-09,5.0,1.92,bullet,8300000,8300000
114-3B,114-3,乙類,TWD,2025-07-09,2035-07-09,10.0,2.05,bullet,4000000,4000000
114-4A,114-4,甲類,TWD,2025-09-18,2030-09-18,5.0,1.66,bullet,13800000,13800000
114-4B,114-4,乙類,TWD,2025-09-18,2035-09-18,10.0,1.73,bullet,4000000,4000000
114-5A,114-5,甲類,TWD,2025-11-20,2030-11-20,5.0,1.5,bullet,14000000,14000000
114-5B,114-5,乙類,TWD,2025-11-20,2032-11-20,7.0,1.53,bullet,3000000,3000000
114-5C,114-5,丙類,TWD,2025-11-20,2035-11-20,10.0,1.58,bullet,6500000,6500000
115-1A,115-1,甲類,TWD,2026-03-31,2031-03-31,5.0,1.72,bullet,12600000,12600000
115-1B,115-1,乙類,TWD,2026-03-31,2036-03-31,10.0,1.78,bullet,4600000,4600000
115-2A,115-2,甲類,TWD,2026-05-22,2031-05-22,5.0,1.8,bullet,13700000,13700000
115-2B,115-2,乙類,TWD,2026-05-22,2036-05-22,10.0,1.85,bullet,4700000,4700000
115-3A,115-3,甲類,TWD,2026-07-30,2031-07-30,5.0,2.03,bullet,14000000,14000000
115-3B,115-3,乙類,TWD,2026-07-30,2036-07-30,10.0,2.1,bullet,4500000,4500000
